waveform_index,scheduled_s,completed_s,late_s,points_returned,points_saved
401,73945.845789653,74053.401568117,107.33292363700457,10000,2500
402,73945.845889653,74053.633620222,107.55569129899959,10000,2500
403,73945.845989653,74053.87262518,107.78763690400228,10000,2500
404,73945.846089653,74054.183275669,108.02654221199919,10000,2500
405,73945.846189653,74054.45898171,108.33710134300054,10000,2500
406,73945.846289653,74054.838959064,108.61269757599803,10000,2500
407,73945.846389653,74055.093642823,108.99257528899761,10000,2500
408,73945.846489653,74055.328264442,109.24716416999581,10000,2500
409,73945.84658965301,74055.748570591,109.48168038998847,10000,2500
410,73945.846689653,74055.960230166,109.90188953399775,10000,2500
411,73945.846789653,74056.17899255,110.1134464009956,10000,2500
412,73945.84688965301,74056.393842117,110.33211934099381,10000,2500
413,73945.846989653,74056.605469988,110.54687177599408,10000,2500
414,73945.847089653,74056.840987132,110.75839331099996,10000,2500
415,73945.84718965301,74057.121142429,110.99381535798602,10000,2500
416,73945.847289653,74057.342569033,111.27386619900062,10000,2500
417,73945.847389653,74057.572560382,111.4951854289975,10000,2500
418,73945.84748965301,74057.831967251,111.72507671099447,10000,2500
419,73945.847589653,74058.105223571,111.98439384700032,10000,2500
420,73945.847689653,74058.36918629,112.25753964600153,10000,2500
421,73945.84778965301,74058.635902961,112.5214023529843,10000,2500
422,73945.847889653,74058.95710876,112.78801890500472,10000,2500
423,73945.847989653,74059.287932307,113.10912495700177,10000,2500
424,73945.84808965301,74059.551833823,113.43984856599127,10000,2500
425,73945.848189653,74059.760260569,113.70365804599714,10000,2500
426,73945.848289653,74060.085020072,113.91197665499931,10000,2500
427,73945.84838965301,74060.318261125,114.23663660298917,10000,2500
428,73945.848489653,74060.555634407,114.46977800800232,10000,2500
429,73945.848589653,74060.762767804,114.70705128400004,10000,2500
430,73945.84868965301,74061.01079844,114.91409103598562,10000,2500
431,73945.848789653,74061.220099532,115.16201648500282,10000,2500
432,73945.848889653,74061.514573981,115.37121726699115,10000,2500
433,73945.84898965301,74061.781240655,115.66560076399765,10000,2500
434,73945.849089653,74062.001838203,115.93215679800778,10000,2500
435,73945.849189653,74062.227627268,116.15266162400076,10000,2500
436,73945.84928965301,74062.622426111,116.37835029399139,10000,2500
437,73945.849389653,74062.977773825,116.77304953700514,10000,2500
438,73945.849489653,74063.197634675,117.12829950799642,10000,2500
439,73945.84958965301,74063.49810935,117.34805828199023,10000,2500
440,73945.849689653,74063.721216879,117.64843420199759,10000,2500
441,73945.849789653,74063.960832309,117.87144221999915,10000,2500
442,73945.849889653,74064.230610676,118.11094857398712,10000,2500
443,73945.849989653,74064.463119811,118.380626846003,10000,2500
444,73945.850089653,74064.678493346,118.61304349900456,10000,2500
445,73945.850189653,74064.884301768,118.82830961199943,10000,2500
446,73945.850289653,74065.088928,119.03401804700843,10000,2500
447,73945.850389653,74065.306506488,119.23855431600532,10000,2500
448,73945.850489653,74065.576157694,119.45602289699309,10000,2500
449,73945.850589653,74065.816564663,119.72557453800982,10000,2500
450,73945.850689653,74066.038973283,119.96588065299147,10000,2500
451,73945.850789653,74066.348368676,120.18819618898851,10000,2500
452,73945.850889653,74066.687636514,120.49749328001053,10000,2500
453,73945.850989653,74066.917994,120.8366529240011,10000,2500
454,73945.851089653,74067.175110433,121.06690972599608,10000,2500
455,73945.851189653,74067.399187505,121.3239357650018,10000,2500
